tweet_url,posted_date,tweet_text,author_handle,author_name
https://twitter.com/user1/status/101,2023-11-01T10:00:00Z,"HDFC Infinia: Spend â‚¹10L in a year and get 10k bonus points. Best reward rate in India! #HDFC #CreditCard",@card_expert,Card Expert
https://twitter.com/user2/status/102,2023-11-01T10:05:00Z,"Amex Platinum Travel: Get 40,000 MR points on spending â‚¹4L. That's â‚¹20k value easily.",@amex_fan,Amex Fan
https://twitter.com/user3/status/103,2023-11-01T10:10:00Z,"Axis Magnus devaluation is real. But the 25k points on 1L spend is still sweet if you can hit it.",@axis_user,Axis User
https://twitter.com/user4/status/104,2023-11-01T10:15:00Z,"SBI Cashback Card: 5% cashback on all online spends. Capped at â‚¹5000 per month. Must have!",@cashback_king,Cashback King
https://twitter.com/user5/status/105,2023-11-01T10:20:00Z,"Standard Chartered Ultimate: Flat 3.3% reward rate. No capping. Underrated gem.",@sc_fan,SC Fan
https://twitter.com/user6/status/106,2023-11-01T10:25:00Z,"IDFC First Wealth is Lifetime Free! Just apply via the app if you are an alumni of IIT/IIM.",@ltf_hunter,LTF Hunter
https://twitter.com/user7/status/107,2023-11-01T10:30:00Z,"Amazon Pay ICICI is the king of LTF cards. 5% for Prime members. No brainer.",@icici_user,ICICI User
https://twitter.com/user8/status/108,2023-11-01T10:35:00Z,"Kotak League Platinum is now LTF for select corporate employees. Check your eligibility.",@kotak_deals,Kotak Deals
https://twitter.com/user9/status/109,2023-11-01T10:40:00Z,"IndusInd Legend Credit Card: Lifetime Free offer running now. Apply before it's gone.",@indus_fan,Indus Fan
https://twitter.com/user10/status/110,2023-11-01T10:45:00Z,"AU Lit Credit Card: First customizable LTF card. Pay only for features you use.",@au_bank,AU Bank
https://twitter.com/user11/status/111,2023-11-01T10:50:00Z,"Hack: Buy Amazon Pay Vouchers on Gyftr using Amex Gold (5x) -> Load to Amazon -> Pay Utility Bills. 10% return!",@hack_master,Hack Master
https://twitter.com/user12/status/112,2023-11-01T10:55:00Z,"Stacking: HDFC SmartBuy (5%) + Infinia (3.3%) = 8.3% on flights. Unbeatable.",@travel_hacker,Travel Hacker
https://twitter.com/user13/status/113,2023-11-01T11:00:00Z,"Use Axis Ace for offline spends (2%) and SBI Cashback for online (5%). Perfect combo.",@combo_king,Combo King
https://twitter.com/user14/status/114,2023-11-01T11:05:00Z,"Double Dip: Use CashKaro link for Amazon (5% rewards) + Pay with HDFC Millennia (5% CashPoints).",@cashkaro_fan,CashKaro Fan
https://twitter.com/user15/status/115,2023-11-01T11:10:00Z,"Joining Bonus: Get 10,000 JP Miles on Axis Vistara Infinite. Worth the â‚¹10k fee instantly.",@vistara_flyer,Vistara Flyer
https://twitter.com/user16/status/116,2023-11-01T11:15:00Z,"Amex Platinum Charge: 100k MR points joining bonus! Massive value for luxury travelers.",@lux_travel,Lux Travel
https://twitter.com/user17/status/117,2023-11-01T11:20:00Z,"SBI Elite: Welcome gift of â‚¹5000 worth vouchers (Yatra/Pantaloons). Decent start.",@sbi_fan,SBI Fan
https://twitter.com/user18/status/118,2023-11-01T11:25:00Z,"Transfer Bonus: 30% bonus on transferring Citi Miles to Singapore Airlines KrisFlyer. Limited time!",@mileage_junkie,Mileage Junkie
https://twitter.com/user19/status/119,2023-11-01T11:30:00Z,"Axis to Accor transfer ratio is 1:2. Best way to stay at luxury hotels for cheap.",@hotel_hacker,Hotel Hacker
https://twitter.com/user20/status/120,2023-11-01T11:35:00Z,"Amex to Marriott 30% bonus is back! 1:1.3 ratio. Good time to top up for that redemption.",@marriott_fan,Marriott Fan
https://twitter.com/user21/status/121,2023-11-01T11:40:00Z,"Just watched the cricket match. What a game! #Cricket #India",@cricket_fan,Cricket Fan
https://twitter.com/user22/status/122,2023-11-01T11:45:00Z,"Politics is getting heated up. Elections around the corner.",@news_junkie,News Junkie
https://twitter.com/user23/status/123,2023-11-01T11:50:00Z,"Had a great pizza at Domino's today. Cheese burst is love.",@foodie_101,Foodie 101
https://twitter.com/user24/status/124,2023-11-01T11:55:00Z,"Why is traffic so bad in Bangalore? Stuck for 2 hours.",@bengaluru_traffic,Traffic Rant
https://twitter.com/user25/status/125,2023-11-01T12:00:00Z,"Looking for a new laptop. Mac or Windows? Suggestions?",@tech_ask,Tech Ask
https://twitter.com/user26/status/126,2023-11-01T12:05:00Z,"Happy Diwali to everyone! Have a safe and prosperous one.",@festive_user,Festive User
https://twitter.com/user27/status/127,2023-11-01T12:10:00Z,"RBL Zomato Edition card is being discontinued. Sad day for foodies.",@zomato_fan,Zomato Fan
https://twitter.com/user28/status/128,2023-11-01T12:15:00Z,"Yes Bank Marquee: New premium card in town. Lounge access is great.",@yes_bank_user,Yes Bank User
https://twitter.com/user29/status/129,2023-11-01T12:20:00Z,"Bob Eterna: Unlimited 3.75% on online spends. Is it sustainable?",@bob_user,BOB User
https://twitter.com/user30/status/130,2023-11-01T12:25:00Z,"OneCard is metal and free. Good for beginners.",@onecard_fan,OneCard Fan
https://twitter.com/user31/status/131,2023-11-01T12:30:00Z,"Tata Neu Infinity: 10% on Tata Neu app. 5% as NeuCoins. Solid ecosystem play.",@tata_fan,Tata Fan
https://twitter.com/user32/status/132,2023-11-01T12:35:00Z,"Airtel Axis: 25% off on Airtel bills. 10% on Swiggy/Zomato. Must have for utility.",@airtel_user,Airtel User
https://twitter.com/user33/status/133,2023-11-01T12:40:00Z,"HSBC Cashback: 10% on dining/grocery/food delivery. Capped at 1k. Good secondary card.",@hsbc_fan,HSBC Fan
https://twitter.com/user34/status/134,2023-11-01T12:45:00Z,"Does anyone know if rent payment via Cred still gives points on Axis Magnus?",@cred_user,Cred User
https://twitter.com/user35/status/135,2023-11-01T12:50:00Z,"My CIBIL score dropped by 20 points. How to improve it?",@credit_help,Credit Help
https://twitter.com/user36/status/136,2023-11-01T12:55:00Z,"Beware of phishing calls asking for OTP. Never share it.",@security_alert,Security Alert
https://twitter.com/user37/status/137,2023-11-01T13:00:00Z,"Stock market crashed today. Nifty down 200 points.",@stock_trader,Stock Trader
https://twitter.com/user38/status/138,2023-11-01T13:05:00Z,"Bitcoin is rallying again. To the moon! ðŸš€",@crypto_bro,Crypto Bro
https://twitter.com/user39/status/139,2023-11-01T13:10:00Z,"Just bought a new car! Excited for the road trip.",@car_lover,Car Lover
https://twitter.com/user40/status/140,2023-11-01T13:15:00Z,"Movie review: Leo was amazing. Vijay's acting top notch.",@movie_buff,Movie Buff
https://twitter.com/user41/status/141,2023-11-01T13:20:00Z,"Spend 50k on HDFC Regalia Gold and get â‚¹1500 voucher. Targeted offer check email.",@hdfc_target,HDFC Target
https://twitter.com/user42/status/142,2023-11-01T13:25:00Z,"Amex Gold Charge: 5x on Reward Multiplier is the best way to accumulate points.",@amex_gold,Amex Gold
https://twitter.com/user43/status/143,2023-11-01T13:30:00Z,"Axis Vistara Signature: 2 Premium Economy tickets on milestones. Good value.",@vistara_sig,Vistara Sig
https://twitter.com/user44/status/144,2023-11-01T13:35:00Z,"ICICI Sapphiro: BOGO on BookMyShow is the only reason I keep this card.",@icici_sapphiro,ICICI Sapphiro
https://twitter.com/user45/status/145,2023-11-01T13:40:00Z,"IndusInd Pinnacle: 1% on everything. Not great anymore.",@indus_pinnacle,Indus Pinnacle
https://twitter.com/user46/status/146,2023-11-01T13:45:00Z,"Kotak White: Pure luxury card. Not for rewards lovers.",@kotak_white,Kotak White
https://twitter.com/user47/status/147,2023-11-01T13:50:00Z,"RBL World Safari: 0% forex markup. Best for international travel.",@rbl_safari,RBL Safari
https://twitter.com/user48/status/148,2023-11-01T13:55:00Z,"IDFC First Select: Buy 1 Get 1 on movies up to â‚¹250. Decent.",@idfc_select,IDFC Select
https://twitter.com/user49/status/149,2023-11-01T14:00:00Z,"Going to the gym. Leg day today.",@gym_rat,Gym Rat
https://twitter.com/user50/status/150,2023-11-01T14:05:00Z,"Learning React. It's tough but fun.",@dev_learner,Dev Learner
